time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835716_c,3835716_h,3835716_r,3835716_s,3835717_c,3835717_h,3835717_r,3835717_s,3835718_c,3835718_h,3835718_r,3835718_s,3835719_c,3835719_h,3835719_r,3835719_s,3835720_c,3835720_h,3835720_r,3835720_s
2023-06-01 10:55:00,30.1,36.3,26.2,30.96,25.9,25.9,[25.9],1.0,28.0,26.0,24.0,1.0,36.3,25.0,24.0,1.0,26.2,26.0,24.0,1.0,28.0,26.0,25.0,1.0,36.3,26.0,24.0
2023-06-01 11:00:00,29.8,36.5,26.7,31.14,26.4,26.4,[26.4],1.0,28.0,25.0,24.0,1.0,36.5,26.0,24.0,1.0,26.7,25.0,24.0,1.0,28.0,26.0,25.0,1.0,36.5,26.0,24.0
2023-06-01 11:05:00,29.4,36.6,26.9,31.380000000000003,26.6,26.6,[26.6],1.0,28.4,26.0,24.0,1.0,36.6,25.0,24.0,1.0,26.9,26.0,24.0,1.0,28.4,26.0,25.0,1.0,36.6,26.0,24.0
2023-06-01 11:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 11:25:00,30.4,36.4,26.1,31.02,26.3,26.3,[26.3],1.0,28.1,26.0,24.0,1.0,36.4,25.0,24.0,1.0,26.1,26.0,24.0,1.0,28.1,26.0,25.0,1.0,36.4,26.0,24.0
2023-06-01 11:30:00,30.9,36.7,26.6,31.4,26.4,26.4,[26.4],1.0,28.5,26.0,24.0,1.0,36.7,25.0,24.0,1.0,26.6,28.0,24.0,1.0,28.5,26.0,25.0,1.0,36.7,26.0,24.0
2023-06-01 11:35:00,31.2,36.7,26.6,31.4,26.3,26.3,[26.3],1.0,28.5,25.0,24.0,1.0,36.7,26.0,24.0,1.0,26.6,24.0,24.0,1.0,28.5,26.0,25.0,1.0,36.7,26.0,24.0
2023-06-01 11:40:00,31.8,36.5,26.2,31.320000000000004,26.1,26.1,[26.1],1.0,28.7,25.0,24.0,1.0,36.5,25.0,24.0,1.0,26.2,25.0,24.0,1.0,28.7,26.0,25.0,1.0,36.5,27.0,24.0
2023-06-01 11:45:00,31.8,36.5,26.2,31.160000000000004,26.1,26.1,[26.1],1.0,28.3,25.0,24.0,1.0,36.5,25.0,24.0,1.0,26.2,25.0,24.0,1.0,28.3,27.0,25.0,1.0,36.5,26.0,24.0
