time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358333_c,1358333_h,1358333_r,1358333_s,1358334_c,1358334_h,1358334_r,1358334_s,1358338_c,1358338_h,1358338_r,1358338_s,1358341_c,1358341_h,1358341_r,1358341_s,1358342_c,1358342_h,1358342_r,1358342_s,3826022_c,3826022_h,3826022_r,3826022_s,3826023_c,3826023_h,3826023_r,3826023_s,3826024_c,3826024_h,3826024_r,3826024_s
2023-05-30 18:40:00,,45329.3,26.6,25.4,25.83333333333333,27.3,27.3,[27.3],1.0,25.4,26.9,25.0,1.0,,26.9,25.0,1.0,,27.3,26.0,1.0,,26.8,26.0,1.0,,27.3,25.0,1.0,26.6,28.1,25.0,1.0,,26.8,25.0,1.0,25.5,28.0,25.0
2023-05-30 18:45:00,,45318.61,26.1,25.4,25.666666666666668,27.4,27.4,[27.4],1.0,25.4,25.7,25.0,1.0,,26.7,25.0,1.0,,26.5,26.0,1.0,,26.6,26.0,1.0,,26.7,25.0,1.0,26.1,27.0,25.0,1.0,,26.2,25.0,1.0,25.5,28.2,25.0
2023-05-30 18:50:00,,45251.9,25.7,25.1,25.433333333333334,27.1,27.1,[27.1],1.0,25.1,26.3,25.0,1.0,,26.7,25.0,1.0,,27.1,26.0,1.0,,26.8,26.0,1.0,,26.5,25.0,1.0,25.7,26.6,25.0,1.0,,26.0,25.0,1.0,25.5,27.5,25.0
2023-05-30 18:55:00,,45510.34,26.1,25.5,25.73333333333333,27.1,27.1,[27.1],1.0,25.6,27.0,25.0,1.0,,26.9,25.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,27.0,25.0,1.0,26.1,27.5,25.0,1.0,,26.5,25.0,1.0,25.5,27.0,25.0
2023-05-30 19:00:00,,45258.51,26.5,24.7,25.566666666666663,27.3,27.3,[27.3],1.0,24.7,26.0,25.0,1.0,,26.7,25.0,1.0,,26.7,26.0,1.0,,26.6,26.0,1.0,,27.5,25.0,1.0,26.5,27.6,25.0,1.0,,26.8,25.0,1.0,25.5,27.1,25.0
2023-05-30 19:05:00,,45312.81,26.1,24.7,25.433333333333334,27.0,27.0,[27.0],1.0,24.7,26.8,25.0,1.0,,26.6,25.0,1.0,,27.1,26.0,1.0,,26.7,26.0,1.0,,26.5,25.0,1.0,26.1,27.6,25.0,1.0,,26.7,25.0,1.0,25.5,27.9,25.0
2023-05-30 19:10:00,,45391.74,26.0,24.7,25.4,27.0,27.0,[27.0],1.0,24.7,26.9,25.0,1.0,,26.5,25.0,1.0,,27.1,26.0,1.0,,26.4,26.0,1.0,,26.7,25.0,1.0,26.0,26.9,25.0,1.0,,26.4,25.0,1.0,25.5,27.1,25.0
2023-05-30 19:15:00,,45250.35,25.7,24.7,25.266666666666666,26.9,26.9,[26.9],1.0,24.7,25.9,25.0,1.0,,26.6,25.0,1.0,,26.9,26.0,1.0,,26.5,26.0,1.0,,26.3,25.0,1.0,25.7,26.7,25.0,1.0,,25.9,25.0,1.0,25.4,27.3,25.0
2023-05-30 19:20:00,,45238.9,26.3,25.1,25.600000000000005,26.8,26.8,[26.8],1.0,25.1,26.1,25.0,1.0,,26.4,25.0,1.0,,26.9,26.0,1.0,,26.4,26.0,1.0,,27.0,25.0,1.0,26.3,27.7,25.0,1.0,,26.8,25.0,1.0,25.4,29.4,25.0
2023-05-30 19:25:00,,45433.11,26.2,25.5,25.76666666666667,27.1,27.1,[27.1],1.0,25.5,27.0,25.0,1.0,,27.1,25.0,1.0,,26.7,26.0,1.0,,26.7,26.0,1.0,,27.0,25.0,1.0,26.2,27.3,25.0,1.0,,26.4,25.0,1.0,25.6,27.3,25.0
2023-05-30 19:30:00,,45408.22,26.2,24.6,25.433333333333334,26.9,26.9,[26.9],1.0,24.6,25.9,25.0,1.0,,26.6,25.0,1.0,,27.1,26.0,1.0,,26.5,26.0,1.0,,27.2,25.0,1.0,26.2,27.1,25.0,1.0,,26.7,25.0,1.0,25.5,27.8,25.0
2023-05-30 19:35:00,,45399.21,26.6,24.8,25.633333333333336,27.1,27.1,[27.1],1.0,24.8,26.0,25.0,1.0,,26.6,25.0,1.0,,26.5,26.0,1.0,,26.4,26.0,1.0,,27.7,25.0,1.0,26.6,27.4,25.0,1.0,,26.8,25.0,1.0,25.5,26.9,25.0
2023-05-30 19:40:00,,45468.49,25.8,25.4,25.566666666666663,26.9,26.9,[26.9],1.0,25.5,26.9,25.0,1.0,,26.7,25.0,1.0,,27.3,26.0,1.0,,26.6,26.0,1.0,,26.5,25.0,1.0,25.8,27.0,25.0,1.0,,26.0,25.0,1.0,25.4,27.8,25.0
2023-05-30 19:45:00,,45451.44,26.3,24.7,25.46666666666667,26.9,26.9,[26.9],1.0,24.7,25.8,25.0,1.0,,26.7,25.0,1.0,,26.4,26.0,1.0,,26.3,26.0,1.0,,26.9,25.0,1.0,26.3,27.7,25.0,1.0,,26.5,25.0,1.0,25.4,27.0,25.0
2023-05-30 19:50:00,,45507.36,26.5,25.0,25.7,27.1,27.1,[27.1],1.0,25.0,26.0,25.0,1.0,,26.7,25.0,1.0,,26.9,26.0,1.0,,26.6,26.0,1.0,,27.2,25.0,1.0,26.5,27.4,25.0,1.0,,26.6,25.0,1.0,25.6,27.2,25.0
2023-05-30 19:55:00,,45463.99,26.2,25.5,25.73333333333333,27.1,27.1,[27.1],1.0,25.5,26.9,25.0,1.0,,26.7,25.0,1.0,,26.4,26.0,1.0,,26.2,26.0,1.0,,27.0,25.0,1.0,26.2,27.5,25.0,1.0,,26.4,25.0,1.0,25.5,27.1,25.0
2023-05-30 20:00:00,,45401.24,26.9,24.6,25.633333333333336,27.2,27.2,[27.2],1.0,24.6,25.7,25.0,1.0,,26.6,25.0,1.0,,26.6,26.0,1.0,,26.3,26.0,1.0,,27.3,25.0,1.0,26.9,28.0,25.0,1.0,,26.8,25.0,1.0,25.4,27.1,25.0
2023-05-30 20:05:00,,45455.46,26.1,24.6,25.366666666666664,27.1,27.1,[27.1],1.0,24.6,26.1,25.0,1.0,,26.9,25.0,1.0,,27.3,26.0,1.0,,26.7,26.0,1.0,,26.7,25.0,1.0,26.1,27.2,25.0,1.0,,26.2,25.0,1.0,25.4,27.6,25.0
2023-05-30 20:10:00,,45531.38,26.3,25.5,25.766666666666666,27.0,27.0,[27.0],1.0,25.5,27.0,25.0,1.0,,27.1,25.0,1.0,,26.4,26.0,1.0,,26.3,26.0,1.0,,26.9,25.0,1.0,26.3,27.7,25.0,1.0,,26.5,25.0,1.0,25.5,26.9,25.0
2023-05-30 20:15:00,,45458.11,26.3,24.6,25.46666666666667,27.3,27.3,[27.3],1.0,24.6,25.8,25.0,1.0,,26.6,25.0,1.0,,27.1,26.0,1.0,,26.5,26.0,1.0,,27.5,25.0,1.0,26.3,28.2,25.0,1.0,,27.0,25.0,1.0,25.5,27.4,25.0
2023-05-30 20:20:00,,45394.0,26.2,24.9,25.53333333333333,27.1,27.1,[27.1],1.0,24.9,26.0,25.0,1.0,,26.6,25.0,1.0,,26.8,26.0,1.0,,26.3,26.0,1.0,,26.7,25.0,1.0,26.2,27.0,25.0,1.0,,26.3,25.0,1.0,25.5,27.4,25.0
