地市,数据中心,机房名称,机房类别,状态记录,回退原因,开始调控日期,控制范围,机柜最高温,环境最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,空调数量,机柜id,环境id,空调id,压线标志,控制描述,,,,,,
宁波,甬_C_江东紫鹃局,2F无线机房,C,已回退-交由浙邮部署,此机房和2F综合机房是一个机房，均交给浙邮部署完成统一结算,2023/4/21,22-29,32.7,26.3,39,40,29,28,2,,,,,,,,,,,
宁波,甬_C_江东紫鹃局,2F综合机房,C,已回退-交由浙邮部署,策略执行，失败率70%过高,2023/4/21,22-29,28.9,27.8,39,40,29,28,2,,,,,,,,,,,
宁波,甬_C_鄞州邱隘局,4F传输机房,C,,,2023/4/21,22-29,33.1,28.6,39,40,29,29,2,,,,,,,,,,,
宁波,甬_D_海曙鄞古林局,2F综合机房,D,已回退,杨-0702：两台空调状态获取不到，并且这样要求停止AI,2023/4/21,22-29,40,29.7,39,40,29,30,3,,,,,,,,,,,
嘉兴,禾_B_嘉兴中山路局,3F西传输机房,C,,,2023/4/24,24-29,32.3,27.7,39,40,29,28,4,,,,,,,,,,,
嘉兴,禾_C_海盐海滨路局,3F数据机房,C,,,2023/4/24,24-29,27.4,27.4,39,40,29,28,1,,,,,,,,,,,
嘉兴,禾_C_平湖南市局,2FJ01机房,D,,,2023/4/24,24-29,36.5,28.4,39,40,29,29,1,,,,,,,,,,,
丽水,丽_B_景宁县局,2F综合机房,C,,,2023/4/24,24-29,28.4,27.6,39,40,29,28,2,,,,,,,,,,,
宁波,甬_C_北仑小港局,3F综合机房,C,已回退,失败率过高,2023/4/24,24-29,35.1,27.4,39,40,29,28,4,,,,,,,,,,,
宁波,甬_D_杭州湾庵东局,2F综合机房,C,已回退,6.9日北研预警，空调控制到26，但回风31.2和29.5,2023/4/24,23-29,33.9,28.7,39,40,29,30,3,,,,,,,,,,,
宁波,甬_D_鄞州莫枝局,2F综合机房,C,已回退,,2023/4/24,23-29,32.4,28.7,39,40,29,30,3,,,,,,,,,,,
宁波,甬_D_鄞州下应局,2F综合机房,C,已回退-交由浙邮部署,失败率过高,2023/4/24,23-29,33.1,27.9,39,40,29,30,3,,,,,,,,,,,
嘉兴,禾_C_嘉兴城东局,2F综合机房,D,已回退,回风温度过高,2023/5/8,22-29,41.9,25.7,46,47,29,28,4,,,,,,,,,,,
嘉兴,禾_C_桐乡庆丰局,3F数据机房,C,,,2023/5/8,23-29,28.1,30.4,39,40,29,31,3,,,,,,,,,,,
嘉兴,禾_D_嘉兴江南水乡局,2F综合机房,D,,,2023/5/8,23-29,37,27.9,39,40,29,30,4,,,,,,,,,,,
嘉兴,禾_D_桐乡乌镇景区局,2F综合机房,D,,,2023/5/8,24-29,35.7,26.7,39,40,29,30,2,,,,,,,,,,,
嘉兴,禾_S_海盐电信大楼(A)C网基站,8F综合机房,C,已回退,,2023/5/8,25-29,37.6,28.8,39,40,29,30,6,,,,,,,,,,,
嘉兴,禾_S_嘉兴嘉北工业园区(B)C网基站,1F综合机房,D,,,2023/5/8,23-29,27.1,28,39,40,29,30,2,,,,,,,,,,,
丽水,丽_A_莲都城东AI局,1F交换机房,B,已回退,6.11日北研预警，频繁发生回风预警,2023/5/8,24-29,34.5,27.7,39,40,29,29,2,,,,,,,,,,,
丽水,丽_A_莲都城东AI局,7F数据机房,B,,,2023/5/8,22-29,32.8,27.2,39,40,29,27,2,,,,,,,,,,,
丽水,丽_A_莲都城中AI局,2F_IDC机房,B,,,2023/5/8,24-27,32.6,27.2,59,60,29,29,3,,,,,,,,,,,
丽水,丽_A_莲都城中AI局,2F_S213机房,B,,,2023/5/8,25-29,33.2,25.9,39,40,29,26,2,,,,,,,,,,,
丽水,丽_A_莲都城中AI局,2F光配机房,B,,,2023/5/8,24-29,32,28.7,39,40,29,30,1,,,,,,,,,,,
丽水,丽_A_莲都城中AI局,4F核心网机房,B,已回退,环境温度缺失,2023/5/8,24-29,30.1,27.9,39,40,29,29,1,,,,,,,,,,,
丽水,丽_B_云和云和县局,3F数据机房,C,,,2023/5/8,23-29,26.8,26.2,59,60,29,29,1,,,,,,,,,,,
丽水,丽_C_缙云壶镇局,2F综合机房,D,,,2023/5/8,25-29,36.4,27.7,39,40,29,28,2,,,,,,,,,,,
丽水,丽_C_莲都接官亭局,1F综合机房,D,,,2023/5/8,23-29,28.8,28.5,39,40,29,30,2,,,,,,,,,,,
台州,台_C_临海巾山路局,2FIDC机房,C,,,2023/5/8,22-29,33.7,27.8,39,40,29,29,6,,,,,,,,,,,
台州,台_C_天台桥南局,3F综合机房,C,,,2023/5/8,25-29,34.6,27.7,39,40,29,29,10,,,,,,,,,,,
金华,婺_C_东阳望江局,1FID01机房,C,未部署,局方要求,2023/5/8,23-29,27.7,24.9,39,40,29,28,1,,,,,,,,,,,
金华,婺_C_浦江城中局,2FZ02机房,C,,,2023/5/8,24-29,26.4,27,39,40,29,28,2,,,,,,,,,,,
金华,婺_D_东阳横店局,2FZ02机房,D,,,2023/5/8,26-29,35.5,29.4,59,60,31,32,2,,,,,,,,,,,
金华,婺_D_东阳横店局,3FZ01机房,D,,,2023/5/8,26-29,31.7,27.8,39,40,29,30,1,,,,,,,,,,,
金华,婺_D_东阳黄田畈局,2F综合机房,D,,,2023/5/8,26-29,32,29.8,59,60,29,31,1,,,,,,,,,,,
金华,婺_D_东阳六石局,3F综合机房,D,,,2023/5/8,26-29,32.4,28.7,39,40,29,30,1,,,,,,,,,,,
金华,婺_D_兰溪外商园局,2F综合机房,D,,,2023/5/8,26-29,35.4,29.2,59,60,30,32,2,,,,,,,,,,,
金华,婺_D_武义王宅局,2F综合机房,D,,,2023/5/8,25-29,29.5,24.7,39,40,29,30,1,,,,,,,,,,,
金华,婺_D_永康胡库局,2F综合机房,D,,,2023/5/8,24-29,29.2,25.8,39,40,29,30,1,,,,,,,,,,,
金华,婺_D_永康科技园三期局,2F综合机房,D,已回退,频繁预警,2023/5/8,24-29,28.6,25.1,39,40,29,30,1,,,,,,,,,,,
金华,婺_D_永康石柱局,2F综合机房,D,,,2023/5/8,25-29,30.6,27.3,59,60,30,32,2,,,,,,,,,,,
金华,婺_D_永康五金城局,2F综合机房,D,,,2023/5/8,24-29,32.7,25,39,40,29,30,1,,,,,,,,,,,
金华,婺_D_永康西溪局,2F综合机房,D,,,2023/5/8,25-29,30.5,26.4,59,60,30,31,1,,,,,,,,,,,
金华,婺_J_兰溪灵洞(B)C网基站,2F综合机房,D,,,2023/5/8,26-29,24.4,26.4,59,60,32,34,2,,,,,,,,,,,
宁波,甬_A_海曙解北枢纽局,5F电力室,A,,,2023/5/8,23-29,,25.1,39,40,29,26,1,,,,,,,,,,,
宁波,甬_A_江东鄞中枢纽局,11F电力室,A,已回退,,2023/5/8,24-29,,25,39,40,29,26,1,,,,,,,,,,,
宁波,甬_C_宁海中街母局,2F数据机房,C,,,2023/5/8,24-29,35.9,26.5,39,40,29,28,2,,,,,,,,,,,
宁波,甬_C_宁海中街母局,3FIDC机房,C,,,2023/5/8,24-29,34.5,26.8,39,40,29,28,4,,,,,,,,,,,
宁波,甬_C_宁海中街母局,4F数据机房,C,已回退,,2023/5/8,25-29,27.7,29.2,39,40,29,30,2,,,,,,,,,,,
宁波,甬_C_余姚富巷母局,2F综合机房,C,,,2023/5/8,23-29,35.7,23.4,39,40,29,28,1,,,,,,,,,,,
宁波,甬_D_象山南郊新局,3F综合机房,C,,,2023/5/8,23-29,32.1,25.9,39,40,29,30,2,,,,,,,,,,,
